                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.71151,                0.37984,                0.97371,                0.99697,                0.99978,                  0.995,                0.88972,                0.55732,                0.22564,                0.91497,             0.00058017,             0.00058017,             0.00058017
                     62,                0.69171,                0.37407,                0.97474,                0.99756,                0.99903,                  0.995,                0.89541,                0.54485,                0.21912,                0.90944,             0.00056603,             0.00056603,             0.00056603
                     63,                0.69349,                 0.3731,                0.97866,                0.99639,                0.99973,                  0.995,                0.88473,                0.54159,                0.22286,                0.90723,             0.00055188,             0.00055188,             0.00055188
                     64,                0.68919,                0.36287,                0.96799,                0.99495,                 0.9968,                  0.995,                0.89152,                 0.5409,                0.22135,                0.91003,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69949,                 0.3665,                0.97321,                0.99843,                 0.9987,                  0.995,                0.90428,                0.51871,                0.21428,                0.89741,             0.00052359,             0.00052359,             0.00052359
                     66,                0.69666,                0.36878,                0.98698,                0.99861,                0.99903,                0.99498,                0.90308,                0.52299,                0.21222,                0.90166,             0.00050944,             0.00050944,             0.00050944
                     67,                0.69275,                0.37833,                0.97701,                 0.9974,                0.99768,                0.99497,                0.90362,                0.51896,                0.21467,                 0.8987,             0.00049529,             0.00049529,             0.00049529
                     68,                0.66017,                0.35345,                0.96716,                0.99808,                0.99894,                0.99496,                0.90249,                0.52179,                0.20993,                0.89969,             0.00048114,             0.00048114,             0.00048114
                     69,                0.68322,                0.36646,                0.96961,                0.99796,                0.99878,                0.99498,                0.89562,                0.52783,                0.21238,                0.90287,               0.000467,               0.000467,               0.000467
                     70,                0.68886,                0.37676,                0.98139,                0.99667,                 0.9974,                  0.995,                0.90344,                0.51248,                0.21398,                0.89546,             0.00045285,             0.00045285,             0.00045285
                     71,                0.67196,                0.37847,                0.96907,                0.99732,                0.99991,                  0.995,                0.90602,                0.50546,                0.20627,                0.89557,              0.0004387,              0.0004387,              0.0004387
                     72,                0.66924,                0.35743,                 0.9692,                0.99966,                  0.998,                  0.995,                0.91203,                0.49818,                 0.2072,                0.89065,             0.00042456,             0.00042456,             0.00042456
                     73,                0.65792,                0.35795,                0.96021,                0.99847,                0.99839,                  0.995,                0.91113,                0.49533,                 0.2035,                0.88932,             0.00041041,             0.00041041,             0.00041041
                     74,                0.66524,                0.34977,                0.97298,                0.99852,                0.99957,                  0.995,                0.90865,                0.49702,                0.19995,                0.89037,             0.00039626,             0.00039626,             0.00039626
                     75,                0.64118,                0.34744,                0.95898,                0.99842,                0.99903,                0.99497,                0.91561,                0.48529,                0.19793,                0.88385,             0.00038211,             0.00038211,             0.00038211
                     76,                0.64142,                0.33656,                0.96686,                0.99736,                0.99953,                  0.995,                0.91947,                 0.4746,                0.19664,                0.88297,             0.00036797,             0.00036797,             0.00036797
                     77,                0.62286,                0.32673,                 0.9526,                0.99852,                0.99903,                0.99499,                 0.9235,                0.46731,                 0.1958,                0.87608,             0.00035382,             0.00035382,             0.00035382
                     78,                0.64309,                0.34427,                0.96067,                0.99843,                0.99858,                  0.995,                0.92265,                0.47268,                0.19892,                0.87942,             0.00033967,             0.00033967,             0.00033967
                     79,                0.64514,                 0.3443,                0.96084,                0.99943,                0.99789,                  0.995,                0.91511,                0.48274,                 0.2023,                 0.8848,             0.00032553,             0.00032553,             0.00032553
                     80,                 0.6175,                   0.33,                0.94759,                0.99797,                0.99903,                  0.995,                0.91944,                0.46595,                0.19587,                 0.8782,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63682,                0.33137,                0.95563,                0.99866,                0.99932,                0.99497,                0.92392,                0.46261,                0.19629,                0.87779,             0.00029723,             0.00029723,             0.00029723
                     82,                0.62157,                 0.3295,                0.95464,                0.99816,                0.99903,                  0.995,                 0.9197,                0.47295,                0.19788,                0.88237,             0.00028308,             0.00028308,             0.00028308
                     83,                0.61968,                0.33641,                0.95037,                0.99852,                0.99903,                0.99496,                0.92462,                0.46062,                0.19064,                0.87603,             0.00026894,             0.00026894,             0.00026894
                     84,                0.61717,                0.33766,                0.95265,                0.99858,                0.99903,                0.99496,                0.92726,                0.44741,                0.18802,                 0.8699,             0.00025479,             0.00025479,             0.00025479
                     85,                0.62168,                 0.3227,                0.94875,                0.99872,                0.99916,                0.99497,                0.92839,                0.45464,                0.19007,                0.87139,             0.00024064,             0.00024064,             0.00024064
                     86,                0.61774,                0.33961,                0.94641,                0.99715,                0.99891,                  0.995,                0.93133,                0.44024,                0.18563,                0.86542,              0.0002265,              0.0002265,              0.0002265
                     87,                0.61457,                0.32541,                 0.9492,                0.99863,                0.99936,                0.99498,                0.93108,                0.44009,                0.18441,                0.86454,             0.00021235,             0.00021235,             0.00021235
                     88,                0.60195,                0.32445,                0.94022,                0.99862,                0.99939,                  0.995,                0.93313,                0.43718,                0.18333,                0.86513,              0.0001982,              0.0001982,              0.0001982
